company_name,company_industry,employee_count_range,city,platform
Integrated Cooling Solutions,Industrial Machinery Manufacturing,51-200,Doral,icims
C&F Mortgage Corporation,Banking,201-500,Midlothian,icims
Newport Harbor Island Resort,Hospitality,"5001-10,000",Newport,icims
Riverside Veterinary Hospital,Hospitals and Health Care,11-50,Goode,icims
Paradise Point Resort & Spa,Hospitality,"5001-10,000",Dunwoody,icims
Teledyne Electronic Safety Products,"Appliances, Electrical, and Electronics Manufacturing",1-10,Los Angeles,icims
Courtyard Harlingen,Hospitality,,Harlingen,icims
BENCHMADE,Manufacturing,201-500,Oregon City,icims
Colle McVoy,Advertising Services,201-500,Minneapolis,icims
Poly Trucking,"Transportation, Logistics, Supply Chain and Storage",51-200,Grand Prairie,icims
Boston Growth - Highgate Hotels,Professional Services,11-50,Sudbury,icims
P4 Physical Therapy,"Physical, Occupational and Speech Therapists",51-200,Athens,icims
South Aiken Physical Therapy & Wellness,"Physical, Occupational and Speech Therapists",11-50,Aiken,icims
Carolina Asphalt,Construction,11-50,Charlotte,icims
Gentiva Hospice,Hospitals and Health Care,"5001-10,000",Atlanta,icims
New York Institute of Technology,Higher Education,1001-5000,New York,icims
BRMi,IT Services and IT Consulting,51-200,Silver Spring,icims
UW Credit Union,Banking,501-1000,Madison,icims
MasterCorp,Hospitality,"5001-10,000",Orlando,icims
Things Remembered,Retail,1001-5000,Burr Ridge,icims
Technica Corporation,IT Services and IT Consulting,201-500,Dulles,icims
"Mission Support and Test Services, LLC",Government Administration,1001-5000,North Las Vegas,icims
Big Sky Resort,Hospitality,1001-5000,Big Sky,icims
ValidaTek,IT Services and IT Consulting,201-500,McLean,icims
Now Optics,Retail,501-1000,Delray Beach ,icims
Walter P Moore,Engineering Services,1001-5000,Houston,icims
HealthEquity Inc.,Financial Services,1001-5000,Draper,icims
Denver Springs,Hospitals and Health Care,"5001-10,000",Louisville,icims
"Semper Solaris Construction, Inc.",Construction,501-1000,El Cajon,icims
Rho,Biotechnology Research,201-500,Durham,icims
Foundations Behavioral Health,Mental Health Care,201-500,Doylestown,icims
"Mears Group, Inc.",Construction,1001-5000,Englewood,icims
"Vertical Screen, Inc.",Security and Investigations,501-1000,Warminster,icims
Heritage Christian Services,Individual and Family Services,501-1000,Rochester,icims
Lattice Semiconductor,Semiconductor Manufacturing,1001-5000,Hillsboro,icims
HealthEquity,Financial Services,1001-5000,Draper,icims
OakBend Medical Center,Hospitals and Health Care,1001-5000,Richmond,icims
MTF Biologics,Medical Equipment Manufacturing,1001-5000,Edison,icims
MG Properties,Real Estate,501-1000,San Diego,icims
Emory,Hospitals and Health Care,"10,000+",Atlanta,icims
Avondale Group,Retail Motor Vehicles,201-500,Grapevine,icims
Patra Corporation,Insurance,1001-5000,El Dorado Hills,icims
