company_name,company_industry,employee_count_range,city,platform
CMI Media Group,Advertising Services,1001-5000,Philadelphia,jobvite
Thompson Thrift,Real Estate,501-1000,Indianapolis,jobvite
Stratolaunch,Aviation and Aerospace Component Manufacturing,201-500,Mojave,jobvite
SRC,Defense and Space Manufacturing,1001-5000,North Syracuse,jobvite
1WorldSync,IT Services and IT Consulting,501-1000,Chicago,jobvite
Peterson Health,Hospitals and Health Care,1001-5000,Kerrville,jobvite
"CNO Financial Group, Inc.",Insurance,"10,000+",Carmel,jobvite
"Encompass Supply Chain Solutions, Inc.","Transportation, Logistics, Supply Chain and Storage",501-1000,Addison,jobvite
nLIGHT,Manufacturing,501-1000,Vancouver,jobvite
LMH Health,Hospitals and Health Care,1001-5000,Lawrence,jobvite
Nulo Pet Food,Manufacturing,51-200,Austin,jobvite
Key Construction,Construction,201-500,Wichita,jobvite
Forescout Technologies Inc.,Computer and Network Security,1001-5000,San Jose,jobvite
MBO Partners,Business Consulting and Services,1001-5000,Ashburn,jobvite
Century Communities,Real Estate,501-1000,Englewood,jobvite
Attindas,Manufacturing,201-500,Raleigh,jobvite
TAS Energy,Manufacturing,501-1000,Houston,jobvite
Dent Wizard International,Motor Vehicle Manufacturing,1001-5000,Bridgeton,jobvite
Spectra Logic,IT Services and IT Consulting,201-500,Boulder,jobvite
NewDay Veterinary Care,Veterinary Services,1001-5000,Jacksonville,jobvite
Bernick's,Wholesale,501-1000,Waite Park,jobvite
BAL,Law Practice,1001-5000,Richardson,jobvite
DTEX Systems,Software Development,51-200,Saratoga,jobvite
Xperi Inc.,Computers and Electronics Manufacturing,,San Jose,jobvite
Onset Technologies,Professional Services,11-50,Houston,jobvite
Cultural Care Au Pair,Individual and Family Services,"5001-10,000",Cambridge,jobvite
RTS Financial,Financial Services,501-1000,Overland Park,jobvite
Guide Dogs for the Blind,Consumer Services,501-1000,San Rafael,jobvite
Payscale,Software Development,501-1000,Seattle,jobvite
Northwest Center,Civic and Social Organizations,1001-5000,Renton,jobvite
Peloton Group,Professional Services,501-1000,Boston,jobvite
Vivid Seats,"Technology, Information and Internet",501-1000,Chicago,jobvite
Divisions Maintenance Group,Facilities Services,501-1000,Cincinnati,jobvite
Knight Transportation,Truck Transportation,1001-5000,Phoenix,jobvite
Hachette Book Group,Book and Periodical Publishing,1001-5000,New York,jobvite
Power Integrations,Semiconductor Manufacturing,1001-5000,San Jose,jobvite
adMarketplace,Advertising Services,201-500,New York,jobvite
Palomar Health,Hospitals and Health Care,1001-5000,Escondido,jobvite
Information Services Group,Professional Services,1001-5000,Stamford,jobvite
MMGY Global,Advertising Services,1001-5000,Overland Park,jobvite
Lewis Group of Companies,Real Estate,501-1000,Upland,jobvite
Mindpath Health,Mental Health Care,1001-5000,Denver,jobvite
